CVE_DOC,CVE_PEDI,CVE_CLPV,CVE_VEND,FECHA_DOC,FECHA_CANCELA,CAN_TOT,DOC_ANT,CANCELADO
D00501,PV00039,      1703,1.0,2019-09-30,,50994.00000000001,F29599,No
DEV0000000001,F29896,      1852,2.0,2019-10-09,,7125.9000000000015,F29596,No
DEV00002,F29604,      5149,2.0,2019-10-10,,2726.5200000000004,F29604,No
DEV00003,F29605,      3222,2.0,2019-10-10,,1363.2600000000002,F29605,No
DEV00004,F29616,       664,2.0,2019-10-10,,4232.25,F29616,No
DEV00005,PV00046/47,       664,2.0,2019-10-10,,10463.01,F29614,No
DEV00006,F29625,      6177,2.0,2019-10-16,,4135.700000000001,F29625,No
DEV00007,F29489,      4779,1.0,2019-10-17,2019-10-17,24408.0,F29489,Si
DEV00008,F29489,      4779,1.0,2019-10-17,,24408.000000000004,F29489,No
DEV00009,JOV0089,      5894,3.0,2019-10-31,,986.2500000000001,F29897,No
DEV00010,F29966,      6184,2.0,2019-11-04,,430.70000000000005,F29966,No
DEV00011,F30104,      3832,2.0,2019-11-05,,2235.3,F30104,No
DEV00012,F29953,      6805,3.0,2019-11-06,,1282.3500000000001,F29953,No
DEV00013,,      2507,3.0,2019-11-07,,371.02,F29991,No
DEV00014,F30057,      4695,1.0,2019-11-11,,3709.65,F30057,No
DEV00015,F29978,      3912,1.0,2019-11-11,,3240.0,F29978,No
DEV00016,F30057,      4695,1.0,2019-11-12,,5300.25,F30057,No
DEV00017,F29872,      6874,2.0,2019-11-14,,1120.6896000000002,F29872,No
DEV00018,F29936,      5478,4.0,2019-11-22,,5000.0,F29936,No
DEV00019,F30380,      3930,6.0,2019-12-04,,51450.00000000001,F30380,No
DEV00020,F30099,      3930,4.0,2019-12-04,2019-12-19,48480.0,F30099,Si
DEV00021,F30471,      3916,1.0,2020-01-07,,2191.0,F30471,No
DEV00022,F29880,      6253,4.0,2020-01-21,,21400.0,F29880,No
DEV00023,F30574,       466,1.0,2020-01-22,,1937.6000000000001,F30574,No
DEV00024,,      5926,3.0,2020-01-24,,690.5,F30657,No
DEV00025,F30497,      3930,4.0,2020-01-28,,51450.00000000001,F30497,No
DEV00026,F30514,       209,2.0,2020-01-31,,7471.275,F30514,No
DEV00027,F30622,       537,2.0,2020-02-11,,10731.6,F30622,No
DEV00028,F30964,      7023,5.0,2020-02-11,,4650.0,F30964,No
DEV00029,F29850,      1852,3.0,2020-02-11,,7125.9000000000015,F29850,No
DEV00030,F30302,       925,1.0,2020-02-20,,6783.000000000001,F30302,No
DEV00031,F29862,      5149,2.0,2020-02-28,,2726.5200000000004,F29862,No
DEV00032,F31105,      7050,2.0,2020-03-04,,350.0,F31105,No
DEV00033,F30511,      5331,3.0,2020-03-10,,6964.0,F30511,No
DEV00034,F30206,      3912,1.0,2020-03-11,,3240.0000000000005,F30206,No
DEV00035,F30692,      3912,1.0,2020-03-11,,1872.8220000000001,F30692,No
DEV00036,,       941,4.0,2020-03-20,,4722.1,F31110,No
DEV00037,F31241,      1583,3.0,2020-04-20,,12879.000000000002,F31241,No
DEV00038,F31294,      1583,2.0,2020-04-20,,1717.2,F31294,No
DEV00039,F31480,      1583,3.0,2020-04-20,,3132.0000000000005,F31480,No
DEV00040,F31662,      3926,1.0,2020-04-28,,1100.0,,No
DEV00041,PP00408,      1019,2.0,2020-04-28,,4978.5,F30413,No
DEV00042,F31864,      8085,,2020-06-04,,10500.0,F31864,No
DEV00043,F30864,      5165,1.0,2020-06-05,,12512.500000000002,F30864,No
DEV00044,F31631,         9,3.0,2020-06-12,,7400.000000000001,,No
DEV00045,F31887,      1339,5.0,2020-06-15,,5650.200000000001,F31887,No
DEV00046,F32092,      2385,5.0,2020-07-08,,23760.000000000004,F32092,No
DEV00047,F31970,      6850,5.0,2020-07-16,,2200.0,F31970,No
DEV00048,F31646,      1852,2.0,2020-07-20,,2386.5600000000004,F31646,No
DEV00049,F31645,      5644,3.0,2020-07-23,,4990.0,F31645,No
DEV00050,F32412,      3937,3.0,2020-08-06,,44251.950000000004,F32412,No
DEV00051,F30237,      3836,4.0,2020-08-06,,4500.0,F30237,No
DEV00052,F32328,      5644,3.0,2020-08-07,,4990.0,F32328,No
DEV00053,,      7088,2.0,2020-08-10,,3763.6544000000004,F31400,No
DEV00054,F31898,      1591,3.0,2020-08-14,,6400.000000000001,F31898,No
DEV00055,F32487,       455,,2020-09-02,,1901.7966000000001,F32487,No
DEV00056,PP01379,      1289,5.0,2020-09-03,,1397.0000000000002,F32655,No
DEV00057,F29801,      5068,2.0,2020-09-09,,3572.5,F29801,No
DEV00058,F32677,      2385,5.0,2020-09-18,,23340.000000000004,F32677,No
DEV00059,f32678,      2385,5.0,2020-09-18,,46680.00000000001,F32678,No
DEV00060,F32167,      4675,5.0,2020-09-22,,7413.000000000001,F32167,No
DEV00061,F32920,      8164,2.0,2020-10-02,,1655.4,F32920,No
DEV00062,PV00475,      1943,2.0,2020-10-05,,1944.7200000000003,F32922,No
DEV00063,F32638,      1583,6.0,2020-10-07,,11484.000000000002,F32638,No
DEV00064,F32641,        85,5.0,2020-10-08,,6578.36,F32641,No
DEV00065,F32490,      1453,2.0,2020-10-09,,1970.0000000000002,F32490,No
DEV00066,F32949,      2390,3.0,2020-10-19,,3550.0,F32949,No
DEV00067,PV00500,      3672,2.0,2020-10-20,,4200.0,F33072,No
DEV00068,F32834,      2080,5.0,2020-10-22,,46874.00000000001,F32834,No
DEV00069,F33254,      6253,5.0,2020-11-20,,11384.000000000002,F33254,No
DEV00070,F33257,      6253,4.0,2020-11-20,,7500.000000000001,F33257,No
DEV00071,F33268,      6253,5.0,2020-11-20,,12600.000000000002,F33268,No
DEV00072,F33244,      4486,4.0,2020-11-30,,1350.0,F33244,No
DEV00073,F33388,      8225,,2020-12-01,,1397.5000000000002,F33388,No
DEV00074,F29819,      3803,6.0,2020-12-02,,2000.0000000000002,F29819,No
DEV00075,F33441,      5926,2.0,2020-12-09,,165.0,F33441,No
DEV00076,F33339,      1453,5.0,2020-12-16,,1305.0,F33339,No
DEV00077,F33487,      1852,2.0,2020-12-18,,3630.0000000000005,F33487,No
DEV00078,F31239,      6457,1.0,2020-12-18,,3300.0000000000005,F31239,No
DEV00079,f33654,      1586,4.0,2020-12-31,,11138.1,,No
DEV00080,PP01713,      1508,6.0,2021-01-05,,4325.8,F33682,No
DEV00081,F31800,      5039,3.0,2021-01-05,,2695.0,F31800,No
DEV00082,F33726,      5644,2.0,2021-01-06,,4990.0,F33726,No
DEV00083,F33783,      1753,2.0,2021-01-07,,2112.0,F33783,No
DEV00084,F33761,      5894,6.0,2021-01-14,,1141.63,F33761,No
DEV00085,F33588,      5926,2.0,2021-01-15,,300.0,F33588,No
DEV00086,F33697,      6253,6.0,2021-02-16,,31432.99,F33697,No
DEV00087,F33397,      6253,6.0,2021-02-16,,4284.0,F33397,No
DEV00088,F33463,      6253,4.0,2021-02-16,,11384.000000000002,F33463,No
DEV00089,F33464,      6253,6.0,2021-02-16,,7500.000000000001,F33464,No
DEV00090,F33465,      6253,4.0,2021-02-16,,12600.000000000002,F33465,No
DEV00091,F32669,       466,5.0,2021-02-17,,11760.000000000002,F32669,No
DEV00092,F33990,       972,6.0,2021-02-18,,7800.000000000001,F33990,No
DEV00093,F33726,      5644,2.0,2021-02-19,2021-02-19,4990.0,F33833,Si
DEV00094,F33701,       537,2.0,2021-02-25,,20443.3944,F33701,No
DEV00095,F33504,      7016,6.0,2021-03-09,,682.5,F33504,No
DEV00096,F33591,      1016,3.0,2021-03-11,,3740.0000000000005,F33591,No
DEV00097,F31702,3612C,5.0,2021-03-16,,2160.0,F31702,No
DEV00098,F34314,      5219,6.0,2021-03-23,,125.00000000000001,F34314,No
DEV00099,F34315,      5219,6.0,2021-03-23,,125.00000000000001,F34315,No
DEV00100,F34471,      3912,5.0,2021-04-06,,20840.0,F34471,No
DEV00101,F34470,      3912,5.0,2021-04-06,,44954.96000000001,F34470,No
DEV00102,F34633,      1852,2.0,2021-04-08,,4543.44,F34633,No
DEV00103,F33822,      5039,1.0,2021-04-19,,2340.0,F33822,No
DEV00104,F33063,      8148,5.0,2021-04-21,,11454.0,F33063,No
DEV00105,F34628,      2548,5.0,2021-05-21,,1350.0,F34628,No
DEV00106,,      5644,2.0,2021-05-26,,4990.0,F34395,No
DEV00107,F34725,      4784,2.0,2021-06-02,,740.7,F34725,No
DEV00108,PP02388,      8350,6.0,2021-06-03,,2425.5,F35204,No
DEV00109,F34616,      3803,2.0,2021-07-08,,753.4000000000001,F34616,No
DEV00110,F35025,      5718,3.0,2021-07-30,,18117.9288,F35025,No
DEV00111,PP02564,      3015,3.0,2021-08-05,,784.07,F35670,No
DEV00112,F35711,      1339,5.0,2021-08-12,,11081.5225,F35711,No
DEV00113,F33359,      3228,6.0,2021-08-24,,1038.0,F33359,No
DEV00114,F35972,      1852,2.0,2021-09-06,,9365.400000000001,F35972,No
DEV00115,F35979,      1852,2.0,2021-09-06,,4620.0,F35979,No
DEV00116,F31898,      1591,1.0,2021-09-14,,3200.0,F32537,No
DEV00117,PP02587,      1016,3.0,2021-09-15,,5832.0,F35765,No
DEV00118,F35781,      1852,2.0,2021-09-21,,6243.6,F35781,No
DEV00119,PP01593,       644,5.0,2021-09-21,,8500.0,F33132,No
DEV00120,PP02605,      8415,3.0,2021-09-24,,6706.5,F35842,No
DEV00121,PP02621-47-05,      8415,3.0,2021-09-24,,42783.42999999999,F35985,No
DEV00122,O.C. 170855,      1852,2.0,2021-10-05,,10863.6,F36190,No
DEV00123,DEV. 118,      1852,2.0,2021-10-05,,6243.6,F36191,No
DEV00124,PV00752,      6253,1.0,2021-10-25,,9500.0,F36232,No
DEV00125,F36366,      5573,3.0,2021-11-25,,2280.0,F36366,No
DEV00126,F35954,      9575,2.0,2021-11-26,,2620.1048,F35954,No
DEV00127,F36180,      6177,2.0,2021-11-26,,2772.0,F36180,No
DEV00128,PP02935 F36925,      8257,6.0,2022-01-07,,3000.0000000000005,F36925,No
DEV00129,PP02894-F36721,      8503,3.0,2022-01-21,,14000.0,F36721,No
DEV00130,PP02730,      5271,3.0,2022-02-08,,5373.0,F36204,No
DEV00131,F36986,      8523,1.0,2022-02-10,,6620.599999999999,F36986,No
DEV00132,F37226,       253,3.0,2022-02-16,,5251.0,F37226,No
DEV00133,F37378,       253,3.0,2022-03-02,,5251.0,F37378,No
DEV00134,F35934,      3228,6.0,2022-03-03,,1038.0,F35934,No
DEV00135,,      8588,2.0,2022-03-08,,1280.67,F37425,No
DEV00136,F35889,      2244,4.0,2022-04-05,,1850.0000000000002,F35889,No
DEV00137,F37624,      2244,1.0,2022-04-05,,9438.800000000001,F37624,No
DEV00138,PP02935 F37069,      8257,6.0,2022-04-06,,3000.0,F37069,No
DEV00139,PP03223,      1583,3.0,2022-04-11,,2700.0,F37637,No
DEV00140,F36742,      6354,2.0,2022-04-12,,3500.0000000000005,F36742,No
DEV00141,F37531 PP03074,       253,3.0,2022-04-20,,5251.0,F37531,No
DEV00142,PP03235,      2527,1.0,2022-04-21,,10047.0,F37713,No
DEV00143,REM2063 F37754,      9570,2.0,2022-04-21,,689.7,F37754,No
DEV00144,PP03246,      4843,1.0,2022-04-25,,74700.0,F37758,No
DEV00145,PP03286 F37908,      6053,2.0,2022-04-26,,4680.0,F37908,No
DEV00146,PP03309,      6119,2.0,2022-04-26,,3318.0006000000003,F37943,No
DEV00147,PV00944,      2548,1.0,2022-05-05,,25075.000000000004,F37410,No
DEV00148,PP03321,      8638,2.0,2022-05-11,,4220.700000000001,F37944,No
DEV00149,REM2146,      6687,2.0,2022-05-13,,2360.6620000000003,F37974,No
DEV00150,PP03294 PP03300,      1757,2.0,2022-06-29,,1067.3000000000002,F38092,No
DEV00151,PV00996,       161,1.0,2022-07-04,,315.57250000000005,F38146,No
DEV00152,REM2336,      1852,2.0,2022-07-04,,5110.8486,F38400,No
DEV00153,PP03499,      8699,2.0,2022-07-12,,1165.95,F38531,No
DEV00154,PV00991,      1284,2.0,2022-09-06,,9895.0,F38439,No
DEV00155,O.C. 42445,      4480,2.0,2022-09-21,,1737.5,F39041,No
DEV00156,PP03387,      6607,2.0,2022-09-23,,6460.000000000001,F38194,No
DEV00157,PP03578,      2244,1.0,2022-10-06,,9438.800000000001,F38777,No
DEV00158,PP02894,      8503,3.0,2022-10-17,,14000.0,F38665,No
DEV00159,PV01071,      4694,1.0,2022-10-21,,3765.0000000000005,F38667,No
DEV00160,PV01136,      2527,1.0,2022-11-01,,3855.6000000000004,F39318,No
DEV00161,PV01119,      1852,1.0,2022-11-03,,17590.8546,F39095,No
DEV00162,REM2822,      4464,2.0,2022-11-09,,1140.0,F39475,No
DEV00163,PV01144,      4480,2.0,2022-11-09,,59500.0,F39419,No
DEV00164,PV01119,      1852,1.0,2022-11-09,,17590.854600000002,F39477,No
DEV00165,PP01698,      3228,6.0,2022-11-15,,1038.0,F37541,No
DEV00166,PV01167,       161,1.0,2022-12-07,,12622.000000000002,F39677,No
DEV00167,PP03857,       161,1.0,2022-12-07,,1230.0,F39678,No
DEV00168,PP02832,       114,1.0,2023-01-04,2023-01-04,2800.5000000000005,F36437,Si
DEV00169,PV01188,      1429,1.0,2023-01-05,,28350.000000000004,F39814,No
DEV00170,PP02832,       114,1.0,2023-01-06,,2800.5,,No
DEV00171,PV01185,       537,1.0,2023-01-12,,13959.04,F39809,No
DEV00172,PP03902,      2279,2.0,2023-01-12,2023-01-19,9502.5,F39801,Si
DEV00173,PP02943,      8503,3.0,2023-01-13,,14000.0,,No
DEV00174,PP02894,      8503,3.0,2023-01-13,,14000.000000000002,,No
DEV00175,PP02943,      8503,3.0,2023-01-13,,14000.000000000002,,No
DEV00176,PP03907,      6607,2.0,2023-01-18,,8224.800000000001,F39770,No
DEV00177,PP03902,      2279,2.0,2023-01-19,,13575.000000000002,F39801,No
DEV00178,PP02943,      8503,3.0,2023-01-20,,14000.0,F39917,No
DEV00179,PP02894,      8503,3.0,2023-01-20,,14000.000000000002,F39919,No
DEV00180,PP02943,      8503,3.0,2023-01-30,,14000.0,,No
DEV00181,PP01698,      3228,6.0,2023-02-14,2023-02-14,1038.0,F39577,Si
DEV00182,PV01121,      3228,6.0,2023-02-14,2023-02-14,5700.0,,Si
DEV00183,PV01121,      3228,6.0,2023-02-14,,5700.0,,No
DEV00184,PP01698,      3228,6.0,2023-02-14,,1038.0,,No
DEV00185,REM3056,      8316,2.0,2023-02-17,,12316.09,F40069,No
DEV00186,PP03925,      6401,1.0,2023-02-17,,31710.08,F39810,No
DEV00187,PV01186,      6401,1.0,2023-02-17,,36000.0,F39784,No
DEV00188,PP03748,       253,1.0,2023-02-21,,13688.000000000002,F39696,No
DEV00189,PP03914,      2768,1.0,2023-02-22,,4880.0,F39812,No
DEV00190,PV01216,      2768,1.0,2023-02-22,,17768.0,F40172,No
DEV00191,PP04020,      2768,1.0,2023-02-22,,8816.0,F40121,No
DEV00192,PP04019,      2768,1.0,2023-02-22,,4070.0000000000005,F40120,No
DEV00193,PP04018,      2768,1.0,2023-02-22,,1660.0,F40119,No
