CVE_DOC,CANT,CVE_ART,COSTO_UNITARIO_CALCULADO,COSTO_TOTAL_CALCULADO,MARGEN_TOTAL_CALCULADO
F37034,1,TUE00244,52.8,52.8,381.68
F37036,1,TUA00028,327.18,327.18,936.87
F37041,7,TP0007,177.68,1243.73,2617.56
F37042,1,TP0001,38.96,38.96,101.04
F37043,2,BP00242,101.71,203.42,141.41
F37043,2,BP00243,49.41,98.82,375.32
F37044,1,RP00165,5323.76,5323.76,8676.24
F37046,3,TP0001,38.96,116.88,166.62
F37048,1,TUE00207,517.89,517.89,1097.11
F37049,1,TUE00207,517.89,517.89,1097.11
F37050,1,TUE00207,517.89,517.89,1097.11
F37051,1,TUE00207,586.32,586.32,1028.68
F37052,1,TUE00207,586.32,586.32,1028.68
F37053,1,BO00051,86.22,86.22,1399.03
F37054,1,BC00023,742.05,742.05,1353.2
F37058,5,PT00070,149.6,397.08,84.17
F37059,2,TP0011,124.0,248.0,1294.56
F37060,3,PJ31C1F1AA00,141.9,425.69,-50.69
F37061,5,WRE-2133,78.7,393.48,3713.02
F37061,7,WRE-2774,75.77,530.41,5218.69
F37061,3,WRE-4885,27.43,82.29,1406.76
F37067,3,MR01934,147.76,443.27,2372.32
F37068,1,PT00080,259.35,259.35,459.17
F37068,1,PT00081,332.65,332.65,565.6
F37069,2,RP00150,0.36,0.72,2999.28
F37071,3,TUA00009,1081.89,3245.66,2298.34
F37073,5,TP0011,124.0,620.0,1805.0
F37073,6,TP0012,44.14,264.83,1985.17
F37077,2,PT00044,489.39,978.77,3032.15
F37078,30,BOBINA001,305.44,9163.18,29816.42
F37083,6,TUE00247,295.24,1771.42,3364.8
F37086,30,BOBINA001,305.44,9163.18,29816.42
F37087,1,TUE00320,178.6,178.6,422.63
F37092,10,PJ31A1F1A400,68.95,689.45,815.55
F37092,10,PK31A1F1A400,78.32,783.24,1376.36
F37095,1,RP00172,5.76,5.76,376.34
F37095,1,RP00173,45.01,45.01,440.22
F37097,1,BN00232,289.05,289.05,655.95
F37098,40,CBS00045,64.85,2594.17,7789.83
F37100,1,MR01934,161.73,161.73,776.8
F37102,3,TUE00321,1509.14,4527.42,33632.58
F37103,9,TF71E1120A00,101.71,915.42,4657.47
F37105,10,BO00052,81.91,819.14,4231.66
F37107,8,TUA00404,497.54,3980.31,6643.69
F37110,2,TEE00025,98.76,197.51,1000.59
F37114,1,TUS00049,140.29,140.29,662.71
F37117,2,TUE00322,181.88,363.75,1206.75
F37117,2,TUE00323,249.89,499.77,731.93
F37117,4,TUS00020,48.56,194.24,1346.56
F37120,1,TUE00328,195.26,195.26,1954.74
F37125,5,TUS00003,85.29,426.47,2228.53
F37126,1,BB1 1/2X1/2-300W,220.0,220.0,165.0
F37128,1,TP0008,211.36,211.36,288.64
F37129,2,TUE00324,242.48,484.95,1186.05
F37129,2,TUE00325,235.56,471.13,1319.87
F37130,1,TUE00326,319.8,319.8,944.45
F37130,1,TUE00327,313.8,313.8,950.45
F37134,4,RB00010,44.7,178.8,2241.2
F37138,1,P7J6C1D1A030,4.02,4.02,333.68
F37141,2,CS12E2040A00,69.23,138.46,977.82
F37142,2,CS12E2040A00,69.23,138.46,977.82
F37143,3,BC00024,556.14,1668.42,2567.58
F37143,3,BC00025,447.68,1343.05,2220.95
F37143,6,BP00241,95.82,574.91,3403.09
F37143,2,TP00016,158.4,316.8,674.8
F37147,8,TUA00258,272.65,2181.22,15238.78
F37150,2,BN00236,161.63,323.25,687.21
F37150,4,BN00237,105.68,422.72,3517.68
F37152,4,TUA00364,795.74,3182.95,7394.17
F37153,2,BP00245,51.38,102.76,941.24
F37156,1,BP00244,291.72,291.72,-36.71
F37161,10,PK31B1I1A000,240.87,2408.67,3103.83
F37167,1,BP00051,52.48,52.48,312.07
F37167,1,TUA00400,139.82,139.82,522.18
F37169,30,ECQ-00972,275.5,8264.95,35994.05
F37171,3,TU5/16X230MM,200.3,600.9,2398.82
F37174,10,TUE00146,372.67,3726.73,10773.27
F37175,6,BO00054,360.5,2162.98,6537.02
F37175,6,BO00055,337.97,2027.79,6672.21
F37178,8,70001693,113.47,907.73,2412.27
F37180,10,TP0004,77.13,771.29,1948.71
F37184,2,BE00010,115.58,231.15,1820.59
F37184,2,BL00011,165.19,330.39,2844.11
F37184,2,BL00052,385.71,771.42,5199.3
F37185,1,TUS00086,85.89,85.89,480.75
F37187,12,TEA00058,95.96,1151.56,4026.44
F37187,12,TEA00059,131.65,1579.75,4759.85
F37191,1,TEE00026,292.75,292.75,1587.53
F37192,20,TP0003,71.25,1425.02,1574.98
F37193,1,TP0001,38.96,38.96,59.04
F37198,3,TUA00410,363.33,1090.0,1400.75
F37202,1,CS14B1010A00,27.08,27.08,446.2
F37204,1,TUA00350,436.54,436.54,1223.06
F37214,1,TP0001,38.96,38.96,68.8
F37215,1,PK18J1F1A400,113.22,113.22,385.78
F37217,3,RP00176,247.52,742.57,1957.43
F37219,3,TUS00064,160.03,480.08,3086.92
F37221,3,TUA00078,369.59,1108.78,3196.22
F37222,2,CS38E1017A00,67.42,134.84,855.16
F37223,1,TP0003,71.25,71.25,53.75
F37223,1,TP0025,75.89,75.89,99.11
F37226,2,PT00082,1214.3,2428.6,2822.4
F37230,2,54020219,1041.08,2082.15,2846.25
F37231,2,93980461,1298.68,2597.36,1539.64
F37233,1,PJ14F10B0600,387.87,387.87,537.73
F37235,1,TUE00057,435.3,435.3,1082.33
F37236,4,TUE00331,24.38,97.52,1897.88
F37237,1,BT00005,167.3,167.3,2462.2
F37238,1,RC00024,104.4,104.4,430.69
F37239,2,TUE00332,336.57,673.13,1718.56
F37240,1,TUA00124,647.84,647.84,924.61
F37240,4,TUE00063,436.05,1744.19,7757.81
F37240,2,TUE00129,449.35,898.7,3263.0
F37241,1,TUE00008,406.61,406.61,1711.39
F37242,1,TUA00401,281.94,281.94,968.06
F37243,4,CAS00066,67.22,268.86,2199.14
F37249,2,BB00077,37.76,75.53,944.47
F37250,1,TUS00052,13.38,13.38,184.12
F37255,1,TU5/16X230MM,226.23,226.23,773.77
F37257,4,TJ00087,130.2,520.79,1180.01
F37257,2,TJ00088,137.08,274.16,696.84
F37259,1,BB1 1/2X1/2-300W,220.0,220.0,165.0
F37260,2,CBS00002,492.92,492.92,3399.32
F37261,1,TUS00052,13.38,13.38,184.12
F37262,1,TUA00407,174.76,174.76,696.74
F37269,3,TP0005,106.0,318.0,807.87
F37270,2,65014-38,246.94,493.89,1706.11
F37275,1,CS12G1040A00,90.18,90.18,475.22
F37276,4,MA00001,156.83,627.33,779.23
F37277,4,TUA00412,146.88,587.54,3365.46
F37277,4,TUA00414,186.95,747.79,2566.97
F37278,4,CS12J1075A00,99.32,397.28,2233.04
F37279,1,TUE00329,130.78,130.78,994.22
F37279,1,TUE00330,134.36,134.36,990.64
F37282,15,TUA00143,189.47,2842.01,10859.02
F37285,1,BB2X2ST,220.0,220.0,242.0
F37289,1,TUA00405,395.14,395.14,2270.16
F37289,1,TUA00406,141.65,141.65,1437.95
F37299,12,CBS00001,526.27,6315.25,15286.91
F37300,4,BN00112,150.79,603.18,1531.22
F37300,10,RPISTOLA01,96.78,967.82,6232.18
F37301,3,TUA00408,533.27,1599.82,4033.13
F37302,7,P231B1AF0500,319.99,2239.95,4564.05
F37303,2,TUE00334,164.55,329.11,3469.25
F37311,2,TUA00400,168.4,336.79,1708.21
F37318,3,TUA00415,418.59,1255.77,10324.2
F37319,1,TEA00004,665.36,665.36,388.64
F37320,4,TUA00082,569.1,2276.4,7319.64
F37321,3,TUE00098,78.83,236.48,3193.27
F37326,3,RC00026,83.5,250.49,1455.46
F37331,3,ECQ-01444,791.1,2373.3,6786.45
F37333,3,TUS00002,143.89,431.66,1684.84
F37336,2,TP0016,222.0,444.0,1182.21
F37336,2,TP0026,113.59,227.19,488.51
F37339,10,CBS00099,153.97,1539.68,7127.32
F37341,6,TK00062,112.64,675.84,2409.66
F37342,1,TP0005,87.1,87.1,220.4
F37349,2,CBS00100,297.59,595.19,1497.03
F37350,3,PK31B1G10000,111.63,334.89,565.11
F37355,3,BN00055,182.75,548.24,5424.76
F37357,4,CS38M1050A01,106.18,424.72,2611.96
F37357,4,CS38N1050A01,150.48,601.92,2550.28
F37358,2,BL00053,36.92,73.84,766.16
F37358,1,BN00232,299.62,299.62,645.38
F37358,3,BP00246,31.72,95.16,939.84
F37358,2,BP00247,155.39,310.77,1678.51
F37358,2,BP00248,145.21,290.42,1186.38
F37359,1,BN00115,150.74,150.74,1301.44
F37361,6,TUS00052,17.39,104.34,1080.66
F37362,1,TP0010,106.55,106.55,230.38
F37363,6,CM12G2075A00,89.85,539.13,2870.43
F37363,1,RP00177,143.11,143.11,2116.32
F37367,2,TUS00111,42.86,85.71,809.13
F37370,1,TUE00148,337.19,337.19,1837.41
F37372,1,TU5/16X230MM,226.23,226.23,692.77
F37375,2,TP0002,51.36,102.71,187.29
F37376,8,PT00057,98.64,789.1,2210.9
F37378,2,PT00082,1214.3,2428.6,2822.4
F37381,8,TU5/16X203V,325.78,2606.27,2152.37
F37386,2,TUE00081,431.83,863.66,3693.24
F37389,1,TP0011,124.0,124.0,284.87
F37394,1,TUA00280,175.18,175.18,961.35
F37395,1,RP00178,12.4,12.4,849.67
F37401,3,BO00053,1782.0,5346.0,2229.0
F37403,2,P7J6C1D1A030,36.53,73.06,602.34
F37409,11,TEA00092,672.74,7400.14,9092.12
F37409,6,TEA00093,1190.42,7142.54,6954.33
F37414,4,PK14C1D1G300,70.04,280.17,1759.83
F37415,2,TT00007,189.75,379.5,1246.6
F37415,2,TT00008,346.74,693.49,1402.51
F37417,2,TU5/16X203V240W,112.61,225.21,824.79
F37418,3,TEA00023,3061.83,4592.74,8157.26
F37422,2,TP0001,38.96,77.92,161.74
F37425,1,TU5/16X870J127V,227.18,227.18,585.82
F37426,1,TEA00096,773.91,773.91,1294.59
F37429,6,TUA00025,304.25,1825.52,7282.48
F37430,5,TP0015,173.0,865.0,2120.3
F37433,1,RP00175,29.9,29.9,653.35
F37434,1,TP0016,222.0,222.0,591.1
F37435,18,TUS00112,52.74,949.4,11485.18
F37436,2,TUA00403,378.69,757.39,2282.61
F37437,1,BB1 1/2X1/2-300W,220.0,220.0,165.0
F37442,1,BB1 1/2X1/2-300W,253.0,253.0,182.0
F37442,1,TP0025,98.63,98.63,108.27
F37443,36,TUE00146,254.34,9156.17,43043.83
F37444,2,BE00011,37.66,75.32,1485.18
F37444,2,BE00012,44.54,89.08,1509.16
F37444,2,BE00013,48.09,96.18,1547.6
F37444,2,BE00015,51.09,102.18,1576.68
F37444,2,BN00243,141.49,282.98,1519.26
F37444,2,BN00244,201.21,402.41,1581.59
F37444,2,BN00245,188.85,377.7,1840.74
F37444,2,BN00246,297.2,594.4,1629.6
F37444,7,BP00249,30.17,211.19,4864.51
F37445,2,PJ140FD1A000,54.82,109.64,665.26
F37447,2,TUE00179,187.31,374.62,2973.38
F37449,2,RC00025,366.42,732.84,1187.16
F37450,2,CS58H1060A00,112.8,225.59,1154.25
F37451,2,CS58H1060A00,112.8,225.59,1154.25
F37455,1,TU5/16X870J127V,227.18,227.18,585.82
F37458,3,CBS00101,427.12,1281.35,8318.65
F37464,6,TUA00427,369.07,2214.39,16415.61
F37465,10,TEA00006,101.99,1019.92,2530.08
F37467,2,TEE00017,1204.71,2409.43,2027.11
F37468,1,CS12J2025A00,74.08,74.08,576.24
F37469,1,TUE00207,1179.22,1179.22,435.78
F37470,1,TUE00207,1179.22,1179.22,435.78
F37471,1,TUE00207,1179.22,1179.22,435.78
F37472,1,TUE00207,1179.22,1179.22,435.78
F37473,1,TUE00207,1179.22,1179.22,435.78
F37474,2,TUE00332,338.28,676.56,519.44
F37475,2,TP0009,160.14,320.27,569.73
F37475,2,TP0010,106.55,213.1,393.8
F37475,2,TP0040,137.48,274.96,463.54
F37480,5,TEA00006,119.05,595.24,1179.76
F37481,4,CBS00056,125.12,500.47,2226.53
F37482,10,70001694,127.62,1276.19,2793.81
F37483,8,70001698,120.29,962.29,2941.71
F37484,7,70001692,113.69,795.85,3005.15
F37485,8,70001690,161.1,1288.78,2783.22
F37486,3,70001684,131.71,395.14,3699.86
F37487,4,P214F1AB0600,459.8,1839.19,2220.81
F37490,4,CS12F1040A00,88.95,355.8,1893.48
F37491,1,TUE00339,7342.41,7342.41,-6217.41
F37492,2,BP00206,440.7,881.41,2088.59
F37493,30,ECQ-00972,339.43,10182.84,34076.16
F37495,4,TUE00075,29.29,117.15,2383.65
F37498,2,CS12G1040A00,90.42,180.83,949.97
F37499,2,TUS00113,69.55,139.11,858.43
F37500,1,TUE00176,470.09,470.09,2038.61
F37502,2,PJ14F1L1A800,373.69,747.38,1309.32
F37509,1,TUE00132,559.98,559.98,705.22
F37509,3,TUS00005,178.49,535.46,1861.84
F37513,1,TUE00338,139.69,139.69,1016.81
F37514,3,TUE00337,173.44,520.33,2456.42
F37515,3,TUS00029,48.23,144.69,931.41
F37516,1,BB00017,208.27,208.27,1289.89
F37516,1,BB00018,688.35,688.35,911.15
F37516,1,BN00002,375.4,375.4,1079.85
F37516,1,BN00003,415.77,415.77,983.02
F37517,2,BL00038,601.65,1203.29,1740.71
F37517,3,PJ31Q1G3A100,236.98,710.93,485.62
F37518,3,TUA00426,449.84,1349.52,2340.12
F37519,2,PK14G1D1G300,87.59,175.18,1864.82
F37521,4,TUE00075,43.81,175.24,2325.56
F37522,4,TUE00198,33.9,135.61,1740.25
F37525,1,BC00026,688.31,688.31,1836.19
F37530,4,TUE00307,236.68,946.71,3173.29
F37530,4,TUE00308,210.46,841.84,3536.56
F37531,2,PT00082,1214.3,2428.6,2822.4
F37535,6,BS00006,918.12,5508.73,17831.27
F37535,6,BS00008,1133.81,6802.89,16537.11
F37538,1,BB2X2ST,220.0,220.0,242.0
F37539,1,RP00181,41.26,41.26,4273.74
F37540,3,TUE00337,173.44,520.33,2456.42
F37541,2,TK00028,78.24,156.48,881.52
F37543,1,TP0008,211.36,211.36,301.0
F37543,1,TP0040,137.48,137.48,245.28
F37544,1,TUA00428,134.94,134.94,425.1
F37545,15,TUA00143,235.81,3537.11,10163.91
F37547,1,TUA00102,370.94,370.94,884.26
F37553,2,P7J6C1D1A030,36.53,73.06,602.34
F37555,2,TUA00431,269.59,539.17,1391.83
F37556,4,TP0005,87.1,348.39,711.61
F37559,1,TUE00007,435.26,435.26,1829.74
F37562,4,CS38F1010A00,67.47,269.88,2026.12
F37564,5,WRE-2137,122.14,610.68,4904.32
F37565,2,BN00242,152.37,304.73,850.87
F37573,9,TUE00343,428.56,3857.05,8119.07
F37578,1,BO00056,216.65,216.65,583.35
F37579,4,TEE00017,1246.35,4985.4,3887.68
F37580,1,TP0011,143.8,143.8,326.2
F37582,10,TU5/16X203V,326.23,3262.29,2686.01
F37584,1,TU5/16X230MM,212.44,212.44,787.46
F37585,1,TUE00341,317.3,317.3,663.3
F37586,1,TUE00341,317.3,317.3,663.3
F37589,3,TUA00430,269.6,808.8,3406.95
F37594,2,CS14D2017B20,111.07,222.14,1402.92
F37602,1,TP0005,87.1,87.1,288.19
F37603,20,TEA00006,119.05,2380.95,4719.05
F37604,5,TUE00042,1666.85,8334.25,0.0
F37605,5,TP0011,143.8,719.0,1631.0
F37606,1,RM00017,2644.78,2644.78,2005.72
F37607,6,TUA00134,303.31,1819.85,7487.35
F37608,2,PT00063,673.14,1346.28,1749.72
F37610,1,TUA00432,1783.73,1783.73,2724.47
F37612,2,BB1 1/2X1/2-300W,220.0,440.0,484.0
F37612,2,TP0001,38.96,77.92,137.6
F37615,1,TUA00371,417.45,417.45,1959.55
F37620,10,CAS00075,261.77,2617.65,5775.15
F37620,15,CAS00076,351.08,5266.17,10911.33
F37622,1,BB1 1/2X1/2-300W,220.0,220.0,165.0
F37624,4,TUA00175,377.29,1509.17,7929.63
F37625,9,TUA00241,145.03,1305.27,7424.73
F37626,1,TU5/16X230MM,212.44,212.44,787.46
F37628,2,TUA00222,358.0,716.01,1714.99
F37629,2,TUE00333,195.77,195.77,1714.24
F37633,4,TUA00421,525.52,2102.1,3978.9
F37637,2,TUE00103,248.65,497.3,2202.7
F37639,5,TP0012,44.14,220.69,1654.31
F37642,1,BB1 1/2X1/2-300W,220.0,220.0,242.0
F37644,2,TUE00340,281.63,563.27,2257.93
F37646,5,BS00011,30.77,153.86,1636.14
F37649,2,TUA00124,541.44,1082.88,2133.12
F37652,6,TUS00115,70.12,420.72,2270.88
F37655,1,BL00022,112.11,112.11,597.89
F37656,20,PT00047,244.02,4880.41,8061.59
F37658,2,ECQ-01444,761.07,1522.13,4584.37
F37662,4,TP0010,106.55,426.19,921.81
F37664,2,TUA00429,626.37,1252.74,2653.78
F37665,2,TP0011,143.8,287.6,708.4
F37667,1,TUA00419,327.61,327.61,1677.89
F37672,1,BE00016,60.56,60.56,508.41
F37673,2,BL00054,174.73,349.45,1350.55
F37674,6,BO00058,300.96,1805.76,3789.24
F37676,1,TUE00207,1179.22,1179.22,435.78
F37677,1,TUA00422,319.43,319.43,859.82
F37678,1,TUA00422,319.43,319.43,859.82
F37679,1,TUA00424,417.02,417.02,1431.38
F37680,1,TUA00424,417.02,417.02,1431.38
F37685,4,BP00089,66.08,264.34,1724.46
F37687,1,TU5/16X230MM,212.44,212.44,787.46
F37688,2,P114I1D4A000,98.65,197.3,1121.66
F37692,6,BP00257,64.98,389.9,1860.1
F37692,2,TP0001,38.96,77.92,111.08
F37693,2,TP0002,51.36,102.71,203.29
F37695,2,TP0001,38.96,77.92,118.08
F37697,1,RP00165,5211.65,5211.65,8788.35
F37698,1,TP0016,222.0,222.0,510.0
F37699,2,TU5/16X230MM,200.3,400.6,1599.22
F37700,10,TP0005,87.1,870.97,1779.83
F37701,5,TUA00433,620.47,3102.37,11072.63
F37702,2,CBE00028,376.35,752.71,1742.29
F37702,1,TK00034,519.02,519.02,331.18
F37703,1,BP00259,89.76,89.76,395.54
F37703,1,BP00260,72.34,72.34,497.96
F37708,4,TUA00200,1282.76,5131.02,7254.98
F37710,2,TUE00161,116.97,233.93,3334.07
F37711,1,RP00182,2448.37,2448.37,5454.83
F37713,3,TUA00099,1273.61,3820.84,6226.16
F37714,2,PA00001,3489.32,6978.64,6821.36
F37717,1,TR51G1125A00,97.0,97.0,488.13
F37718,4,CS12E2040A00,71.53,286.12,1957.88
F37718,4,CS12F2040A00,88.34,353.34,1890.66
F37719,3,TK00063,228.89,686.66,1443.34
F37722,1,BL00001,50.94,50.94,528.72
F37722,1,BP00258,45.28,45.28,754.72
F37724,3,EE00003,4.92,14.76,1170.24
F37728,6,BOE00012,1137.06,6822.37,11420.51
F37728,10,BOE00013,698.18,6981.76,16684.54
F37730,1,TP0008,211.36,211.36,480.32
F37730,1,TP0022,410.21,410.21,452.12
F37731,1,TP0001,38.96,38.96,81.04
F37734,2,BO00005,1560.44,3120.88,33879.12
F37736,25,TP0003,88.63,2215.69,1534.31
F37737,2,TP0003,71.25,142.5,238.54
F37740,2,TEA00016,710.34,1420.68,2279.32
F37742,1,RP00184,102.22,102.22,533.99
F37743,3,TEA00017,502.32,1506.97,1247.03
F37746,8,BN00248,97.46,779.66,3420.34
F37746,2,BN00249,172.28,344.57,645.43
F37746,2,BN00250,155.02,310.03,398.97
F37746,1,BN00251,177.36,177.36,177.14
F37750,3,BP00149,216.46,649.37,5946.37
F37750,4,BP00150,213.66,854.65,4187.27
F37751,2,BE00011,37.66,75.32,1485.18
F37751,2,BE00012,44.54,89.08,1509.16
F37751,2,BE00013,48.09,96.18,1547.6
F37751,2,BE00015,51.09,102.18,1576.68
F37752,1,TP0003,72.37,72.37,118.15
F37753,1,BB1 1/2X1/2-300W,220.0,220.0,215.0
F37755,1,TUS00116,64.91,64.91,462.68
F37756,1,TUS00118,258.43,258.43,946.57
F37757,1,TP0015,173.0,173.0,531.5
F37758,18,TUE00319,714.2,12855.68,61844.32
F37760,2,151.7208,391.24,782.48,773.87
F37761,1,TUA00096,116.73,116.73,790.77
F37764,3,TP0024,48.49,145.47,349.53
F37770,1,TP0022,410.21,410.21,452.14
F37772,1,TUE00025,316.4,316.4,1235.32
F37774,1,MA00016,6.69,6.69,532.1
F37775,1,RP00180,24.0,24.0,363.93
F37776,1,RP00171,258.21,258.21,761.79
F37777,60,BOBINA001,340.8,20448.01,57511.19
F37785,1,BB1 1/2X1/2-300W,220.0,220.0,225.0
F37787,12,TUA00219,447.47,5369.65,12786.35
F37788,12,TUS00020,26.95,323.44,5682.56
F37791,1,TUA00434,244.91,244.91,811.12
F37802,6,CS12F1040A00,88.95,533.7,2841.3
F37802,6,CS12H1050A00,91.21,547.28,3332.32
F37803,25,ECQ-00972,366.1,9152.38,27730.12
F37803,1,ECQ-01444,736.48,736.48,2316.77
F37804,10,ECQ-00972,356.75,3567.53,11185.47
F37804,3,ECQ-01444,791.1,2373.3,6786.45
F37805,18,TP00019,236.1,4249.74,6910.26
F37807,2,TUE00162,517.36,1034.72,2764.98
F37808,4,TUE00348,305.38,1221.53,8612.27
F37813,1,TUE00105,1306.63,1306.63,3650.1
F37814,3,TUS00035,88.74,266.21,1706.29
F37817,1,GAB00014,1516.24,1516.24,19370.94
F37817,2,TUA00376,2935.26,5870.53,8403.47
F37818,1,TP0040,137.48,137.48,298.24
F37824,1,TP0001,42.79,42.79,77.3
F37827,1,BP00251,112.24,112.24,521.36
F37827,1,BP00252,111.07,111.07,453.64
F37827,1,BP00253,112.24,112.24,521.36
F37827,1,BP00254,59.54,59.54,439.11
F37827,1,BP00255,110.37,110.37,505.63
F37827,1,BP00256,110.37,110.37,487.63
F37829,1,RP00187,90.16,90.16,771.84
F37830,3,TUS00002,106.52,319.57,1796.93
F37831,4,TUS00001,158.37,633.46,2188.54
F37832,1,TUE00081,359.16,359.16,1919.29
F37834,4,TUA00175,377.29,1509.17,7929.63
F37835,1,TUS00117,165.15,165.15,940.45
F37836,2,BC00010,360.32,720.65,4079.35
F37841,2,RP00150,0.36,0.72,2999.28
F37842,1,BB1 1/2X1/2-300W,220.0,220.0,215.0
F37843,4,MR01934,161.73,646.92,3107.2
F37844,2,BN00064,47.25,94.49,715.91
F37845,1,TP0026,113.59,113.59,244.17
F37852,5,TUS00017,91.9,459.5,2669.0
F37852,3,TUS00018,98.64,295.92,1581.18
F37853,1,TP0002,51.36,51.36,102.09
F37854,25,E1041959,203.34,5083.38,18.53
F37858,4,BC00006,1140.93,4563.71,2849.29
F37858,5,P231A1D6K200,251.51,1257.53,1737.47
F37860,4,65014-38,183.83,735.34,3664.66
F37863,2,TUA00435,755.73,1511.46,2470.66
F37866,1,CM10E2050A00,70.86,70.86,464.26
F37872,2,TUA00420,1830.01,3660.03,4198.19
F37876,1,EE00026,94.84,94.84,93.16
F37876,1,TU5/16X203V,321.87,321.87,328.13
F37878,2,TP0011,144.4,288.8,681.2
F37878,1,TP0012,50.54,50.54,259.46
F37880,3,TUA00017,409.87,1229.62,1961.87
F37882,1,TJ00046,204.07,204.07,703.93
F37882,1,TP0024,48.49,48.49,114.51
F37883,1,TUE00342,722.38,722.38,1602.62
F37884,2,TUE00103,248.65,497.3,2202.7
F37888,2,PJ14F10B0600,387.87,775.73,1234.27
F37888,1,PJ14J10B0600,404.78,404.78,600.22
F37892,1,TUA00148,1125.85,1125.85,1723.65
F37898,1,TUE00132,432.3,432.3,832.79
F37899,10,P114Q1H90412,396.54,3965.36,5041.55
F37900,1,TUS00119,48.21,48.21,478.79
F37903,9,TUA00087,318.83,2869.44,8299.56
F37906,1,TUE00345,133.09,133.09,987.6
F37908,6,TUE00248,160.64,963.82,3716.18
F37909,1,TJ00090,403.47,403.47,463.56
F37910,1,TUE00351,148.76,148.76,791.24
F37910,1,TUE00352,148.76,148.76,791.24
F37912,25,E1041968,111.17,2779.23,1324.37
